PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
13470;Aparcamiento mixto. Arquitecto Ribera;;;;;Plazas: 318 públicas y 298 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a50e15cbed51c010VgnVCM2000000c205a0aRCRD;BARCELO;CALLE;V;2;;;;;MADRID;MADRID;28004;JUSTICIA;CENTRO;440764;4475560;40.426.687.899.755.700;-3.699.617.370.122.240;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
59060;Aparcamiento mixto. Avenida de América (intercambiador);;;;;Información sobre accesibilidad:  Tiene escaleras adaptadas Ascensor de salida a la calle Avenida de América, 9 Tiene aseos accesibles Plazas para minusválidos    Plazas: 269 públicas y 392 para residentes  Abierto 24 horas   Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f3bc2c6e051c010VgnVCM2000000c205a0aRCRD;PRADENA DEL RINCON;CALLE;V;4;;;;c/v avenida de América;MADRID;MADRID;28002;PROSPERIDAD;CHAMARTIN;442725;4476896;40.438.860.831.257.400;-3.676.621.738.374.330;917 376 257;;intercambiador@intercambiador.net;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13475;Aparcamiento mixto. Brasil;;;;;Plazas: 226 públicas y 400 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb2e15cbed51c010VgnVCM2000000c205a0aRCRD;"GENERAL YAG&amp;Uuml;E";CALLE;V;11;;;;;MADRID;MADRID;28020;CUATRO CAMINOS;TETUAN;441255;4478822;40.456.108.349.658.900;-3.694.131.675.088.480;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
183747;Aparcamiento mixto. Casino de la Reina;;;;;Plazas: 135 públicas y 449 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5f4bdc85c01c010VgnVCM2000000c205a0aRCRD;CASINO;CALLE;V;3;;;;;MADRID;MADRID;28005;EMBAJADORES;CENTRO;440213;4473147;40.406.792.648.617.100;-3.704.608.601.945.710;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13477;Aparcamiento mixto. Condesa de Gavia;;;;;Plazas: 73 públicas y 79 para residentes  El horario de apertura para la parte del aparcamiento rotacional es de lunes a viernes de 9:00h a 20:40h. Sábados de 9:00 a 14:30h.  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e5f15cbed51c010VgnVCM2000000c205a0aRCRD;CONDESA DE GAVIA;PLAZA;V;0;;;;;MADRID;MADRID;28020;CUATRO CAMINOS;TETUAN;440479;4477874;40.449.385.679.484.100;-3.701.916.412.188.080;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
81736;Aparcamiento mixto. Corona Boreal;;;;;"Plazas: 120 públicas y 125 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas Ascensor de salida a la calle Pérez de Victoria 2 aseos accesibles (1&amp;ordf; planta) Plazas para minusválidos residentes: 3    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid";1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=db8bc2c6e051c010VgnVCM2000000c205a0aRCRD;PEREZ DE VICTORIA;CALLE;V;;;;;;MADRID;MADRID;28023;ARAVACA;MONCLOA-ARAVACA;433707;4479153;40.458.521.271.340.400;-3.783.179.430.697.320;913 573 714;;parkingcoronaboreal@hotmail.com;/contenido/entidadesYorganismos/AparcamientosResidentes; 
183748;Aparcamiento mixto. Daoíz y Velarde;;;;;Plazas: 312 públicas y 174 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0f85bdc85c01c010VgnVCM2000000c205a0aRCRD;CIUDAD DE BARCELONA;AVENIDA;V;3;;;;;MADRID;MADRID;28007;PACIFICO;RETIRO;441999;4472969;40.405.321.541.278.200;-3.683.544.138.638.220;S/T;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
44724;Aparcamiento mixto. Díaz Porlier;;;;;Plazas: 203 públicas y 421 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e69946be351c010VgnVCM2000000c205a0aRCRD;DIEGO DE LEON;CALLE;V;62;;;;;MADRID;MADRID;28006;LISTA;SALAMANCA;442797;4476402;40.434.415.601.006.300;-3.675.728.293.375.590;91 401 73 74;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
36269;Aparcamiento mixto. Encuentro;;;;;Plazas: 104 públicas y 550 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3e12c798651c010VgnVCM2000000c205a0aRCRD;ENCUENTRO;PLAZA;V;1;;;;;MADRID;MADRID;28030;MEDIA LEGUA;MORATALAZ;444782;4473212;40.405.812.707.381.900;-3.652.048.809.515.800;91 328 36 80;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13464;Aparcamiento mixto. Felipe II;;;;;"Plazas: 1175 públicas rotacionales y 615 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas Ascensor de salida a la plaza de Felipe II Aseo accesible (1&amp;ordf; planta) Plazas para minusválidos residentes:23   Abierto 24 horas   Admite tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=425e15cbed51c010VgnVCM2000000c205a0aRCRD;ANTONIA MERCE;CALLE;V;5;;;;;MADRID;MADRID;28009;GOYA;SALAMANCA;442874;4475061;40.424.221.756.921.300;-3.673.433.652.213.160;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13462;Aparcamiento mixto. Fuencarral;;;;;"Plazas: 410 públicas y 111 para residentes  Información sobre accesibilidad:   No tiene escalera adaptada 1 ascensor con salida a la calle Fuencarral, 117 1 aseo accesible en la 1&amp;ordf; planta Plazas para minusválidos residentes: 7   Abierto 24 horas   Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=987e15cbed51c010VgnVCM2000000c205a0aRCRD;FUENCARRAL;CALLE;V;111;;;;;MADRID;MADRID;28010;TRAFALGAR;CHAMBERI;440387;4475666;40.429.488.456.870.300;-3.702.794.102.717.790;"Centralita EMT 914 068 810 ----                                                      

Aparcamiento      915 911 200";;aparcamientos@emtmadrid.es;/contenido/entidadesYorganismos/AparcamientosResidentes; 
36270;Aparcamiento mixto. Hernani;;;;;"Plazas: 115 públicas y 383 residentes  Información sobre accesibilidad:  No tiene escaleras adptadas Ascensor de salida a la calle Hernai, 68 1 aseo accesible en 1&amp;ordf; planta Plazas para minusválidos residentes. 3    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d0712c798651c010VgnVCM2000000c205a0aRCRD;HERNANI;CALLE;V;60;;;;;MADRID;MADRID;28020;CUATRO CAMINOS;TETUAN;440463;4477972;40.448.394.729.978.000;-3.703.391.955.267.310;915 545 326;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13459;Aparcamiento mixto. Jacinto Benavente;;;;;Plazas: 285 públicas y 110 para residentes.  Plazas motos: 7.  Información sobre accesibilidad:   No tiene escaleras adaptadas Ascensor con salida a la calle Jacinto benavente, s/n 1 aseo accesible Plaza para minusválidos residentes: 16  Abierto 24 horas  Titularidad:  Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c48f15cbed51c010VgnVCM2000000c205a0aRCRD;JACINTO BENAVENTE;PLAZA;V;6;;;;;MADRID;MADRID;28012;CORTES;CENTRO;440329;4473996;40.414.440.163.714.500;-3.703.321.129.175.860;917 877 292 (grúa municipal);;aparcamientos@madridmovilidad.es;/contenido/entidadesYorganismos/AparcamientosResidentes; 
